"Player","Season","Team","Position","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","25-26","FLA","L",74,852.75,32,13.86,28.56,1.43,0.038,0.12,0.14,0.79,-0.63,0.027,-0.011,0.08,0.04,0.07,0.06
"Aaron Ekblad","25-26","FLA","D",72,1223.37,31,14.1,29.1,2.55,0.081,0.19,0.23,1.28,-1.27,0.051,-0.03,0.18,0.01,0.18,0.05
"Aatu Raty","25-26","VAN","C",61,658.12,34,14.49,28.8,-1.14,-0.091,-0.03,-0.07,-0.53,0.61,-0.036,0.054,0.04,-0.07,-0.01,-0.06
"Adam Boqvist","25-26","NYI","D",28,345.38,25,13.22,26.44,-1.05,-0.064,0.04,0.06,-0.55,0.5,-0.019,0.046,0.09,-0.06,0.1,-0.04
"Adam Edstrom","25-26","NYR","C",35,326.97,28,13.47,26.81,-0.07,0.008,0.22,0.22,-0.13,-0.06,-0.042,-0.051,0.1,0.12,0.11,0.11
"Adam Engstrom","25-26","MTL","D",12,152.35,24,12.5,25.03,0.06,-0.023,0.13,0.15,-0.12,-0.18,-0.005,0.018,0.15,-0.02,0.16,0
"Adam Erne","25-26","DAL","L",42,411.98,26,13.72,27.54,0.11,0.011,0.17,0.19,-1.17,-1.28,-0.039,-0.05,0.08,0.09,0.09,0.09
"Adam Fantilli","25-26","CBJ","C",78,1223.52,29,15.86,30.91,1.62,0.069,0.28,0.33,1.5,-0.11,0.058,-0.011,0.22,0.06,0.29,0.04
"Adam Fox","25-26","NYR","D",51,957.23,33,14.7,29.23,-0.32,-0.008,0.19,0.2,-0.42,-0.1,-0.031,-0.023,0.12,0.06,0.17,0.03
"Adam Gaudette","25-26","S.J","R",62,640.15,26,13.83,28.06,-1.16,-0.044,0.11,0.08,-0.99,0.17,-0.047,-0.004,0.07,0.04,0.06,0.01
"Adam Ginning","25-26","PHI","D",5,66.52,21,13.2,26.18,-0.9,0.006,0.16,0.21,-1.12,-0.22,-0.028,-0.034,0.13,0.03,0.17,0.05
"Adam Henrique","25-26","EDM","C",61,656.22,33,13.9,27.31,-0.62,-0.008,0.04,0.11,-0.66,-0.04,-0.016,-0.008,0.02,0.02,0.06,0.05
"Adam Klapka","25-26","CGY","R",75,748.05,34,13.61,27.16,-0.68,-0.069,-0.09,-0.06,0.04,0.72,-0.046,0.023,-0.05,-0.04,-0.04,-0.02
"Adam Larsson","25-26","SEA","D",77,1420.93,26,14.27,27.95,-1.55,-0.084,0.14,0.08,-0.33,1.22,-0.045,0.039,0.18,-0.05,0.14,-0.06
"Adam Lowry","25-26","WPG","C",65,836.2,30,14.97,29.61,0.51,0.035,0.15,0.16,-0.16,-0.67,-0.015,-0.05,0.07,0.08,0.07,0.09
"Adam Pelech","25-26","NYI","D",78,1401.92,28,13.74,27.46,-0.22,-0.068,0.11,0.08,0.31,0.53,0.003,0.071,0.18,-0.07,0.15,-0.08
"Adam Sykora","25-26","NYR","L",7,80.33,19,14.8,29.55,-0.29,-0.004,0.35,0.24,-0.3,-0.01,-0.033,-0.029,0.23,0.12,0.16,0.08
"Adam Wilsby","25-26","NSH","D",54,846.65,26,13.78,27.7,0.4,0.003,0.13,0.12,0.47,0.08,0.023,0.02,0.15,-0.02,0.14,-0.03
"Adrian Kempe","25-26","L.A","R",76,1135.55,28,15.4,30.32,1.64,0.046,0.24,0.17,1.21,-0.43,-0.014,-0.06,0.14,0.09,0.08,0.1
"Albert Johansson","25-26","DET","D",78,1111.98,28,13.15,26.17,-0.18,0.017,0.15,0.09,0.36,0.54,-0.006,-0.023,0.1,0.05,0.05,0.04
