"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","25-26","FLA","L",74,852.75,667,14.07,28.07,0.38,0.015,0.18,0.17,0.28,-0.11,0.01,-0.005,0.16,0.02,0.15,0.02
"Aaron Ekblad","25-26","FLA","D",72,1223.37,658,14.74,29.4,0.62,0.024,0.22,0.22,0.55,-0.07,0.027,0.002,0.21,0.01,0.2,0.01
"Aatu Raty","25-26","VAN","C",61,658.12,618,14.03,27.95,0.29,0.019,0.18,0.17,0.31,0.02,0.013,-0.006,0.16,0.02,0.15,0.02
"Adam Boqvist","25-26","NYI","D",28,345.38,425,13.86,27.62,0.04,0,0.12,0.12,0.01,-0.03,-0.004,-0.003,0.1,0.01,0.1,0.02
"Adam Edstrom","25-26","NYR","C",35,326.97,481,13.94,27.73,0.27,0.012,0.16,0.16,0.27,0,0.008,-0.004,0.14,0.02,0.14,0.02
"Adam Engstrom","25-26","MTL","D",12,152.35,174,13.43,26.9,1.07,0.04,0.19,0.2,0.44,-0.63,0.011,-0.029,0.12,0.07,0.12,0.08
"Adam Erne","25-26","DAL","L",42,411.98,524,14.04,27.98,0.5,0.018,0.16,0.16,0.41,-0.09,0.015,-0.003,0.15,0.01,0.15,0.02
"Adam Fantilli","25-26","CBJ","C",78,1223.52,677,14.52,28.99,0.83,0.027,0.2,0.2,0.51,-0.32,0.019,-0.008,0.18,0.02,0.17,0.03
"Adam Fox","25-26","NYR","D",51,957.23,582,14.54,28.94,0.56,0.021,0.19,0.19,0.5,-0.07,0.022,0.001,0.18,0.01,0.18,0.01
"Adam Gaudette","25-26","S.J","R",62,640.15,635,14.03,27.96,0.16,0.005,0.17,0.17,0.19,0.03,0.005,0,0.16,0.01,0.15,0.01
"Adam Ginning","25-26","PHI","D",5,66.52,73,14.01,28.41,1.28,0.023,0.13,0.12,0.78,-0.5,0.024,0.002,0.14,-0.01,0.11,0.01
"Adam Henrique","25-26","EDM","C",61,656.22,639,14.02,27.95,0.15,0.005,0.17,0.16,0.19,0.04,0.001,-0.003,0.15,0.02,0.15,0.02
"Adam Klapka","25-26","CGY","R",75,748.05,672,13.88,27.68,0.21,0.009,0.15,0.16,0.14,-0.07,0.006,-0.004,0.14,0.02,0.14,0.02
"Adam Larsson","25-26","SEA","D",77,1420.93,667,14.68,29.28,0.52,0.02,0.2,0.21,0.46,-0.06,0.026,0.006,0.2,0,0.2,0.01
"Adam Lowry","25-26","WPG","C",65,836.2,624,14.57,29.08,0.58,0.025,0.21,0.22,0.59,0.02,0.032,0.007,0.2,0.01,0.21,0.01
"Adam Pelech","25-26","NYI","D",78,1401.92,686,14.52,28.95,0.65,0.024,0.21,0.21,0.5,-0.14,0.021,-0.003,0.19,0.02,0.19,0.02
"Adam Sykora","25-26","NYR","L",7,80.33,126,14.04,28.02,-0.72,-0.033,0.08,0.08,-0.2,0.51,-0.006,0.027,0.12,-0.04,0.12,-0.04
"Adam Wilsby","25-26","NSH","D",54,846.65,582,14.49,28.88,0.47,0.015,0.19,0.18,0.45,-0.02,0.016,0.001,0.18,0.01,0.17,0.01
