"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"417","Alex Barré-Boulet","COL","C","1","3.7666666666667","3.7666666666667","0","15.93","0","15.93","15.93","inf","0","-","0.65","15.93","15.93","0","0","0","0","0","0","0","0","0","0","0","0","31.86","0","0","0","0","-"
"568","Arthur Kaliyev","OTT","R","2","21.216666666667","10.608333333333","0","2.83","0","2.83","2.83","50.00","11.31","0.00","1.6","22.62","14.14","8.48","5.66","0","5.66","0","0","0","0","0","0","5.66","0","0","0","0","0","0","-"
"664","Maxim Groshev","T.B","D","2","23","11.5","0","2.61","0","2.61","2.61","100.00","2.61","0.00","0.02","2.61","2.61","0","0","0","0","0","0","0","0","0","0","2.61","0","0","18.26","2.61","0","0","-"
"282","Dysin Mayo","CBJ","D","3","25.2","8.4","0","2.38","0","2.38","2.38","50.00","11.9","0.00","0.24","16.67","11.9","2.38","0","0","0","0","0","0","0","0","0","0","0","0","9.52","2.38","0","0","-"
"494","Patrick Giles","S.J","R","3","26.6","8.8666666666667","0","2.26","0","2.26","2.26","100.00","4.51","0.00","0.09","11.28","4.51","0","0","0","0","0","0","0","0","0","0","2.26","0","6.77","6.77","4.51","20.3","13.53","135.34"
"189","Anton Blidh","NYR","L","4","30.816666666667","7.7041666666667","0","1.95","0","1.95","1.95","100.00","7.79","0.00","0.72","9.73","9.73","5.84","3.89","0","3.89","0","0","0","0","0","0","1.95","0","19.47","1.95","0","0","0","-"
"656","Brendan Brisson","NYR","C","3","31.766666666667","10.588888888889","0","1.89","0","1.89","1.89","100.00","3.78","0.00","0.93","5.67","5.67","5.67","5.67","0","0","0","0","0","0","0","0","1.89","1.89","1.89","5.67","1.89","0","0","-"
"386","Keaton Middleton","COL","D","3","32.266666666667","10.755555555556","0","1.86","0","1.86","1.86","100.00","0","-","0","7.44","0","0","0","0","0","7.44","3.72","3.72","0","0","1.86","1.86","0","11.16","5.58","1.86","0","0","-"
"119","Nikita Kucherov","T.B","R","72","1464.5333333333","20.340740740741","1.76","3.44","2.01","1.43","5.2","80.38","9.18","19.20","1.28","21.06","14.95","9.01","2.7","0.25","1.64","1.97","0.78","0.74","0","0.04","1.02","4.83","0.78","1.43","2.13","1.11","0","0.08","0.00"
"365","Adam Fox","NYR","D","52","1224.3","23.544230769231","0.44","2.11","0.78","1.32","2.55","59.09","4.12","10.71","0.42","12.64","7.11","4.02","0.64","0.34","1.13","0.98","0.49","0.49","0","0","0.29","3.09","1.72","1.18","3.33","3.53","0","0","-"
"710","Ryan Ufko","NSH","D","14","181.53333333333","12.966666666667","0.66","1.65","0.33","1.32","2.31","77.78","2.31","28.57","0.28","7.27","3.97","1.98","0.66","0","0.66","1.32","0.66","0.66","0","0","0","3.31","0.66","2.64","2.97","3.64","0","0","-"
"817","Alex Bump","PHI","L","15","186.56666666667","12.437777777778","1.29","1.29","0","1.29","2.57","114.29","6.43","20.00","1.32","15.12","11.9","7.72","3.54","0","0.96","0.64","0.32","0.32","0","0","0.32","3.22","0.96","3.54","4.82","1.93","0","0.32","0.00"
"265","Nicolas Aube-Kubel","MIN","R","4","48.533333333333","12.133333333333","0","1.24","0","1.24","1.24","50.00","4.95","0.00","0.89","12.36","11.13","8.65","2.47","0","0","7.42","3.71","3.71","0","0","1.24","1.24","1.24","4.95","4.95","4.95","0","6.18","0.00"
"299","Jack Eichel","VGK","C","70","1489.5","21.278571428571","1.01","2.3","1.09","1.21","3.3","67.21","9.87","10.20","1","17.97","13.78","7.57","2.58","0.24","1.77","0.64","0.28","0.28","0","0","0.77","4.63","1.09","1.41","1.97","1.61","21.47","23.52","1.92"
"489","Evan Bouchard","EDM","D","78","1921.0666666667","24.62905982906","0.66","2.12","0.94","1.19","2.78","53.61","6.72","9.77","0.46","13.8","9.31","5.18","0.53","0.06","1.41","0.94","0.47","0.47","0","0","0.5","3.78","1.03","0.91","2.53","2.97","0","0","-"
"166","Shayne Gostisbehere","CAR","D","52","997.88333333333","19.190064102564","0.78","2.04","0.9","1.14","2.83","61.04","6.73","11.61","0.47","16.47","11.6","3.97","0.42","0.24","1.14","1.2","0.36","0.3","0","0.06","0.54","3.13","1.14","1.62","2.77","3.61","0","0","-"
"395","Mikhail Sergachev","UTA","D","73","1775.9666666667","24.328310502283","0.34","1.55","0.51","1.05","1.89","50.91","5.03","6.71","0.26","11.52","6.72","3.38","0.57","0.24","0.78","1.35","0.68","0.68","0","0","0.47","3.45","0.98","1.22","3.04","4.12","0","0","-"
