"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"667","Joshua Roy","MTL","R","3","0.35","0.11666666666667","0","171.43","0.00","0","171.43","0.00","0","0","-","0","0","-","0","5.61","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","247.62","0.00","0","0","-","-","-","-","0","0","0","685.71","-","0","0","0","-"
"620","Bogdan Trineyev","WSH","R","2","0.46666666666667","0.23333333333333","128.57","128.57","50.00","0","128.57","0.00","0","128.57","0.00","0","0","-","0","0.03","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","185.71","0","100.00","0","0","-","-","100.00","1.00","128.57","0","0","128.57","100.00","128.57","0","0","100.00"
"739","Kenny Connors","L.A","C","2","0.58333333333333","0.29166666666667","102.86","102.86","50.00","102.86","102.86","50.00","102.86","102.86","50.00","0","102.86","0.00","10.82","10.38","51.06","102.86","102.86","50.00","0","0","-","0","0","-","137.14","137.14","50.00","0","137.14","0.00","0","0","-","0","0","-","0.00","0.00","0.000","0","0","0","205.71","-","0","0","0","-"
"680","Zack Ostapchuk","S.J","C","53","1.2","0.022641509433962","100","100","50.00","100","100","50.00","50","50","50.00","0","50","0.00","4.41","10.02","30.55","50","100","33.33","0","50","0.00","0","50","0.00","66.67","66.67","50.00","0","0","-","144.44","72.22","66.67","0","0","-","0.00","0.00","0.000","150","0","50","450","75.00","150","0","50","75.00"
"770","Theo Lindstein","STL","D","14","0.85","0.060714285714286","0","70.59","0.00","0","70.59","0.00","0","70.59","0.00","0","0","-","0","0.1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","352.94","-","0","0","0","-"
"107","Brandon Saad","VGK","L","47","1.8166666666667","0.038652482269504","33.03","66.06","33.33","33.03","33.03","50.00","33.03","33.03","50.00","0","0","-","2.63","2.8","48.36","0","66.06","0.00","0","33.03","0.00","0","0","-","0","44.04","0.00","0","0","-","95.41","0","100.00","0","0","-","0.00","100.00","1.000","33.03","0","0","231.19","100.00","66.06","0","0","100.00"
"633","Ilya Solovyov","COL, PIT","D","27","1.05","0.038888888888889","57.14","57.14","50.00","0","57.14","0.00","0","0","-","0","0","-","0","3.27","0.00","57.14","0","100.00","0","0","-","0","0","-","76.19","0","100.00","0","0","-","0","82.54","0.00","0","0","-","-","-","-","0","0","0","228.57","-","0","0","0","-"
"543","Jakob Pelletier","T.B","L","3","2.2","0.73333333333333","0","54.55","0.00","0","27.27","0.00","0","27.27","0.00","0","0","-","0","1.05","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","78.79","0.00","0","0","-","-","100.00","1.00","0","27.27","0","81.82","-","0","27.27","0","-"
"639","Josh Dunne","BUF","C","33","1.1166666666667","0.033838383838384","0","53.73","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","155.22","0.00","0","0","-","-","-","-","107.46","0","53.73","53.73","66.67","107.46","0","53.73","66.67"
"686","Emil Lilleberg","T.B","D","46","2.3","0.05","78.26","52.17","60.00","52.17","52.17","50.00","26.09","52.17","33.33","0","0","-","11.82","3.25","78.44","78.26","26.09","75.00","0","26.09","0.00","0","0","-","104.35","0","100.00","0","0","-","75.36","37.68","66.67","0","0","-","0.00","100.00","1.000","52.17","78.26","0","260.87","100.00","52.17","104.35","0","100.00"
