"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"83","Nick Seeler","PHI","D","71","139.9","1.9704225352113","0","1.72","0.43","1.29","1.72","66.67","0.86","0.00","0.09","2.14","1.72","0.86","0","0","0","0","0","0","0","0","0.86","2.14","0.86","4.29","0.43","18.87","0","0","-"
"280","Timothy Liljegren","TOR","D","55","59.633333333333","1.0842424242424","0","1.01","0","1.01","1.01","100.00","1.01","0.00","0.13","2.01","2.01","1.01","1.01","1.01","0","0","0","0","0","0","1.01","2.01","2.01","8.05","1.01","9.06","0","0","-"
"278","Henri Jokiharju","BUF","D","74","68.25","0.9222972972973","0","0.88","0","0.88","0.88","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.88","0","0.88","0.88","1.76","2.64","0","0","-"
"189","Warren Foegele","EDM","L","82","72.366666666667","0.88252032520325","0.83","0.83","0","0.83","1.66","100.00","9.12","9.09","1.18","15.75","14.92","9.95","4.15","2.49","1.66","0","0","0","0","0","0","0","3.32","1.66","0","4.97","0","0","-"
"97","Sean Couturier","PHI","C","74","84.2","1.1378378378378","0","1.43","0.71","0.71","1.43","100.00","7.13","0.00","0.52","7.13","7.13","3.56","1.43","0.71","0","1.43","0.71","0.71","0","0","0","2.85","5.7","0","0","2.14","21.38","31.35","28.89"
"112","Brady Skjei","CAR","D","80","175.83333333333","2.1979166666667","0.34","1.02","0.34","0.68","1.36","66.67","2.73","12.50","0.07","3.41","3.07","0.68","0","0.34","0","0","0","0","0","0","0.68","1.02","1.71","2.39","0.68","6.14","0","0","-"
"143","MacKenzie Weegar","CGY","D","82","179.33333333333","2.1869918699187","0","0.67","0","0.67","0.67","40.00","1.34","0.00","0.04","1.34","1.34","0","0","0.33","0","1.34","0.33","0.33","0","0","0.67","2.01","1.34","5.02","1.34","15.06","0","0","-"
"331","Cam York","PHI","D","82","192.63333333333","2.3491869918699","0","0.62","0","0.62","0.62","28.57","1.87","0.00","0.03","2.18","1.87","0.31","0","0.31","0","0","0","0","0","0","0.31","1.25","0.62","2.18","0.93","10.59","0","0","-"
"356","Janis Moser","ARI","D","80","193.23333333333","2.4154166666667","0","0.62","0","0.62","0.62","50.00","0.62","0.00","0.15","1.24","1.24","0.62","0.62","0.31","0","0","0","0","0","0","0.31","0.93","1.24","1.24","1.55","7.76","0","0","-"
"30","Zach Bogosian","MIN, T.B","D","65","98.666666666667","1.5179487179487","0","0.61","0","0.61","0.61","100.00","0","-","0.01","0.61","0.61","0","0","0","0","2.43","1.22","1.22","0","0","0.61","1.22","1.22","6.08","0.61","7.91","0","0","-"
