"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"335","Alexander Barabanov","S.J","L","46","89","1.9347826086957","100.45","29.66","77.20","67.42","27.64","70.92","39.78","21.57","64.84","4.04","2.02","66.67","6.99","2.14","76.59","53.26","14.16","79.00","20.22","8.09","71.43","2.02","0.67","75.00","44.04","8.09","84.48","0.9","0","100.00","98.35","13.63","87.83","1.95","0","100.00","10.17","90.63","1.008","28.31","6.07","0.67","24.27","97.67","43.15","8.76","4.72","90.14"
"347","Matthew Knies","TOR","L","80","50.65","0.633125","86.48","27.25","76.04","67.52","17.77","79.17","42.65","15.4","73.47","3.55","2.37","60.00","7.04","1.42","83.19","54.49","11.85","82.14","21.32","5.92","78.26","1.18","1.18","50.00","44.23","7.9","84.85","1.58","1.58","50.00","56.47","23.96","70.21","1.71","0","100.00","8.33","84.62","0.929","17.77","10.66","2.37","62.78","88.24","24.88","15.4","7.11","77.78"
"38","Mike Hoffman","S.J","C","66","103.65","1.5704545454545","94.36","26.63","77.99","69.46","24.31","74.07","43.99","17.37","71.70","6.95","1.74","80.00","6.67","1.48","81.81","44.57","11","80.21","18.52","5.21","78.05","2.32","0.58","80.00","34.73","7.72","81.82","2.32","0.77","75.00","103.68","12.54","89.21","4.18","0","100.00","15.79","90.00","1.058","26.05","4.63","0","34.73","100.00","40.52","8.68","4.63","89.74"
"18","Kevin Shattenkirk","BOS","D","61","87.883333333333","1.4407103825137","105.82","25.26","80.73","84.66","23.9","77.99","64.86","19.8","76.61","10.24","0.68","93.75","9.86","1.77","84.79","66.91","10.92","85.96","36.87","7.51","83.08","6.14","0.68","90.00","40.05","4.55","89.80","3.64","0","100.00","87.77","10.85","89.00","1.97","0","100.00","15.79","96.55","1.123","27.99","8.88","2.05","38.92","93.18","39.6","10.92","6.14","86.57"
"354","Simon Nemec","N.J","D","60","77.483333333333","1.2913888888889","92.15","24.78","78.81","58.08","20.91","73.53","44.14","17.04","72.15","1.55","3.87","28.57","5.98","2.57","69.99","48.01","15.49","75.61","20.13","9.29","68.42","0.77","3.1","20.00","37.17","8.26","81.82","0","0","-","77.18","11.19","87.34","1.12","1.12","50.00","3.51","77.27","0.808","16.26","6.19","4.65","67.37","77.78","32.52","12.39","6.19","84.00"
"109","Tomas Hertl","S.J, VGK","C","54","155.96666666667","2.8882716049383","110.41","23.85","82.23","78.09","20.77","78.99","52.7","16.54","76.11","6.92","2.69","72.00","8.09","1.73","82.40","60.4","11.54","83.96","23.47","4.62","83.56","2.69","0.77","77.78","49.24","9.23","84.21","3.59","1.03","77.78","123.92","8.34","93.70","2.22","0","100.00","13.14","83.72","0.969","29.24","4.23","0","2.69","100.00","58.47","6.92","1.54","97.44"
"1","Jeff Carter","PIT","C","72","120.4","1.6722222222222","101.16","22.43","81.85","68.27","18.44","78.74","46.35","13.46","77.50","3.49","1.99","63.64","7.63","1.4","84.52","50.83","11.96","80.95","24.42","5.48","81.67","2.49","1.5","62.50","35.22","8.64","80.30","0","0.66","0.00","99.34","7.92","92.62","1.44","0","100.00","7.53","85.19","0.927","20.93","5.48","1","52.82","95.45","33.39","9.47","2.99","91.78"
"54","Erik Haula","N.J","L","76","85.633333333333","1.1267543859649","100.9","22.42","81.82","65.16","18.22","78.15","44.84","12.61","78.05","3.5","2.1","62.50","6.66","2","76.88","49.05","12.61","79.55","21.02","5.61","78.95","2.1","1.4","60.00","37.37","9.34","80.00","0.93","0","100.00","90.07","11.13","89.00","1.01","1.01","50.00","7.81","83.33","0.911","21.72","4.2","3.5","58.86","86.11","36.43","9.11","4.9","88.14"
"330","Hendrix Lapierre","WSH","C","51","53.533333333333","1.0496732026144","105.35","22.42","82.46","72.85","17.93","80.25","51.56","13.45","79.31","11.21","1.12","90.91","7.53","1.04","87.82","47.07","10.09","82.35","20.17","2.24","90.00","5.6","1.12","83.33","35.87","10.46","77.42","2.99","0","100.00","140.85","11.33","92.55","4.86","0","100.00","21.74","91.67","1.134","40.35","5.6","2.24","12.33","94.74","70.61","10.09","4.48","94.03"
"51","Reilly Smith","PIT","R","76","135.91666666667","1.7883771929825","101.97","21.63","82.50","69.75","19.42","78.22","47.68","14.13","77.14","4.41","1.32","76.92","7.22","1.67","81.16","49","12.36","79.86","23.84","6.62","78.26","2.21","0.88","71.43","33.55","7.65","81.43","0.59","0.59","50.00","109.04","5.74","95.00","2.55","0","100.00","9.26","90.63","0.999","22.96","9.27","0","40.61","100.00","42.82","13.24","3.09","93.27"
"125","Anthony Duclair","S.J, T.B","L","73","127.81666666667","1.7509132420091","93.88","21.59","81.30","62.9","19.25","76.57","43.66","15.49","73.81","10.33","1.41","88.00","6.54","1.34","83.03","53.04","8.92","85.61","21.12","4.22","83.33","3.29","0.47","87.50","42.56","6.26","87.18","6.26","0.63","90.91","92.89","11.53","88.96","3.39","0","100.00","23.66","90.91","1.146","24.41","5.63","0.94","24.88","96.30","46","10.33","4.22","91.59"
"238","Morgan Geekie","BOS","C","76","142.18333333333","1.8708333333333","85.24","21.52","79.84","68.36","19.41","77.88","48.11","15.19","76.00","9.28","0","100.00","7.04","1.5","82.44","50.22","10.13","83.22","23.21","6.75","77.46","3.38","0","100.00","36.01","4.5","88.89","4.5","0","100.00","74.36","11.58","86.52","3.66","0","100.00","19.30","100.00","1.193","25.32","5.06","2.95","36.71","89.55","35.03","7.17","5.06","87.37"
"146","Max Domi","TOR","C","80","103.28333333333","1.2910416666667","98.18","21.49","82.04","70.87","18.01","79.74","48.22","13.36","78.30","5.81","1.74","76.92","7.22","1.44","83.38","63.9","12.78","83.33","26.72","7.55","77.97","2.32","1.16","66.67","49.57","6.97","87.67","3.1","0.77","80.00","69.65","10.07","87.37","1.68","0","100.00","12.05","86.96","0.990","26.14","10.46","2.32","45.31","91.84","41.25","15.69","4.65","89.87"
"326","Alexander Holtz","N.J","R","82","103.58333333333","1.2632113821138","90.94","21.43","80.93","57.92","18.54","75.76","42.28","14.48","74.49","4.05","2.9","58.33","6.06","2.2","73.37","45.18","13.9","76.47","17.38","5.79","75.00","2.32","1.74","57.14","37.07","10.81","77.42","1.54","0.77","66.67","75.3","6.69","91.84","0.84","0.84","50.00","9.59","80.00","0.896","19.12","5.21","3.48","57.35","84.62","29.54","9.27","4.05","87.93"
"217","Luke Kunin","S.J","C","77","70.883333333333","0.92056277056277","60.95","21.16","74.23","44.02","19.47","69.33","26.24","13.54","65.96","5.08","0.85","85.71","4.59","0.97","82.62","30.47","7.62","80.00","12.7","2.54","83.33","2.54","0.85","75.00","23.7","6.77","77.78","3.39","0","100.00","47.68","15.89","75.00","0","0","-","19.35","93.75","1.131","11","5.93","2.54","67.72","81.25","19.47","10.16","7.62","71.88"
"200","Anthony Beauvillier","CHI, NSH, VAN","L","60","68.133333333333","1.1355555555556","87.18","21.14","80.49","65.17","16.73","79.57","47.55","14.97","76.06","5.28","0","100.00","7.15","0.92","88.62","50.2","7.05","87.69","25.54","2.64","90.63","2.64","0","100.00","32.88","5.87","84.85","3.52","0","100.00","77.59","15.26","83.56","0","0","-","11.11","100.00","1.111","27.3","5.28","2.64","58.12","91.18","40.51","10.57","4.4","90.20"
"102","Morgan Rielly","TOR","D","72","190.58333333333","2.6469907407407","126.87","21.09","85.74","93.5","18.26","83.66","65.48","14.17","82.21","10.39","1.26","89.19","10.52","1.52","87.34","73.67","8.19","90.00","36.52","2.83","92.80","4.09","0.31","92.86","49.53","7.14","87.41","5.46","0.42","92.86","125.51","9.55","92.93","3.18","0","100.00","15.87","91.11","1.070","27.7","4.09","0.31","14.8","98.88","62.33","6.93","1.89","97.06"
"11","Kris Letang","PIT","D","82","160.4","1.9560975609756","102.49","20.95","83.03","68.83","18.7","78.63","50.12","13.47","78.82","3.37","2.24","60.00","7.16","1.58","81.88","53.87","11.97","81.82","23.94","5.24","82.05","1.87","1.12","62.50","39.9","8.98","81.63","0.5","1","33.33","101.58","6.48","94.00","1.62","0.54","75.00","6.72","83.33","0.900","18.7","7.11","0.37","43.02","98.04","41.52","10.85","2.62","94.07"
"327","Thomas Bordeleau","S.J","C","27","77.45","2.8685185185185","89.09","20.92","80.99","69.72","18.59","78.95","44.93","15.49","74.36","9.3","0.77","92.31","7.32","1.12","86.77","49.58","6.97","87.67","17.82","4.65","79.31","3.87","0.77","83.33","42.35","3.1","93.18","5.16","0","100.00","98.47","11.19","89.80","2.24","0","100.00","20.69","95.00","1.157","29.44","3.87","1.55","7.75","95.00","61.2","4.65","4.65","92.94"
