"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"702","Ville Koivunen","PIT","R","8","144.91666666667","18.114583333333","0","2.9","1.24","1.66","2.9","70.00","6.21","0.00","0.92","12.42","9.11","8.28","3.73","0","2.9","1.66","0.83","0.83","0","0","0.83","2.48","1.24","0.41","4.55","3.31","0.41","0","41.40"
"313","Jack Eichel","VGK","C","77","1581.0833333333","20.53354978355","1.06","2.5","1.02","1.48","3.57","69.63","8.84","12.02","0.86","15.29","11.57","7.63","3","0.46","1.18","0.3","0.15","0.15","0","0","0.57","3.42","1.06","0.83","2.24","2.09","21.74","25.84","1.73"
"298","Kevin Labanc","CBJ","R","34","356.81666666667","10.494607843137","0.34","1.68","0.34","1.35","2.02","80.00","5.89","5.71","0.46","15.64","10.09","5.89","2.19","0.5","1.01","2.02","1.01","1.01","0","0","0.34","2.35","1.01","4.88","3.53","2.35","0","0.5","0.00"
"388","Clayton Keller","UTA","R","81","1548.5666666667","19.118106995885","1.16","2.32","1.01","1.32","3.49","80.36","8.45","13.76","1.06","17.24","12.9","7.98","3.53","0.35","1.59","1.08","0.5","0.5","0","0","1.05","3.06","1.05","0.43","2.98","1.16","0.39","0.77","1.29"
"505","Evan Bouchard","EDM","D","82","1923.5833333333","23.458333333333","0.44","1.65","0.44","1.22","2.09","49.63","7.33","5.96","0.41","16.97","10.14","5.58","0.53","0.44","1.25","1","0.5","0.5","0","0","0.72","3.99","1.72","0.97","2.9","3.37","0","0","-"
"410","Jesper Bratt","N.J","L","81","1534.8","18.948148148148","0.82","2.62","1.41","1.21","3.44","72.73","7.04","11.67","0.99","15.29","11.1","8.84","3.32","0.39","1.8","0.7","0.31","0.31","0","0","0.51","2.42","0.43","3.75","2.74","1.64","0","0.12","0.00"
"182","Shayne Gostisbehere","CAR","D","70","1296.4666666667","18.520952380952","0.32","1.76","0.56","1.2","2.08","50.00","5.65","5.74","0.35","15.27","9.53","4.49","0.37","0.37","1.71","2.41","1.02","0.97","0","0.05","0.46","3.52","1.67","1.85","2.27","3.05","0","0","-"
"670","Nils Aman","VAN","C","19","199.2","10.484210526316","0.3","1.51","0.3","1.2","1.81","85.71","2.41","12.50","0.41","6.02","3.92","4.52","2.11","0","0.9","0.6","0.3","0.3","0","0","0.3","0.9","0.9","6.63","4.82","0.6","8.43","13.86","11.40"
"558","John Ludvig","COL","D","8","103.6","12.95","0","1.16","0","1.16","1.16","100.00","5.21","0.00","0.14","7.53","5.79","1.74","0.58","0","0","3.47","1.74","1.74","0","0","0.58","2.9","0.58","9.27","4.63","3.47","0","0","-"
"744","Sam Rinzel","CHI","D","9","210.25","23.361111111111","0","1.43","0.29","1.14","1.43","38.46","6.28","0.00","0.39","14.55","10.27","4.57","0.57","0.29","0.57","0","0","0","0","0","0.29","3.71","0.57","3.42","3.14","1.14","0","0","-"
"651","Hendrix Lapierre","WSH","C","27","264.5","9.7962962962963","0","1.81","0.68","1.13","1.81","100.00","4.08","0.00","0.58","8.39","6.35","4.99","2.72","0","0.91","0.91","0.45","0.45","0","0","1.13","3.86","1.13","2.95","5.9","3.18","9.07","13.84","8.98"
"725","Lane Hutson","MTL","D","82","1864.1166666667","22.733130081301","0.19","1.93","0.8","1.13","2.12","56.90","2.93","6.59","0.21","9.56","5.34","2.96","0.51","0.19","0.71","1.09","0.55","0.55","0","0","0.48","3.51","1.8","1.29","4.15","3.96","0","0","-"
"759","Luca Cagnoni","S.J","D","6","105.85","17.641666666667","0","1.13","0","1.13","1.13","66.67","3.97","0.00","0.35","13.04","6.8","5.1","1.7","0","1.13","4.53","1.7","1.7","0","0","1.13","2.83","1.13","0.57","5.1","5.1","0","0","-"
"57","Matt Duchene","DAL","C","82","1405.7166666667","17.142886178862","1.28","2.22","1.11","1.11","3.5","75.93","6.49","19.74","0.93","12.68","9.52","7.34","3.12","0.38","1.32","0.51","0.26","0.26","0","0","0.38","3.33","0.9","1.24","2.48","0.9","18.78","17.07","2.24"
"329","Dylan Strome","WSH","C","82","1425.4666666667","17.383739837398","1.22","2.23","1.14","1.09","3.45","75.93","6.31","19.33","0.87","11.41","9.09","7.45","3.79","0.13","1.3","1.43","0.72","0.72","0","0","0.55","3.33","0.88","0.97","1.68","2.27","29.09","25.09","2.26"
"456","Robert Thomas","STL","C","70","1397.0666666667","19.958095238095","0.9","2.58","1.5","1.07","3.48","79.41","6.23","14.48","0.73","13.23","9.53","7.43","2.49","0.26","1.2","0.86","0.43","0.43","0","0","0.6","4.25","0.94","0.56","3.14","2.06","31.48","25.98","2.35"
"234","Aleksander Barkov","FLA","C","67","1357.2833333333","20.257960199005","0.88","2.25","1.19","1.06","3.14","76.34","6.59","13.42","0.86","13.35","10.39","7.34","3.4","0.22","1.28","0.71","0.35","0.35","0","0","0.53","2.3","1.5","3.85","2.78","2.39","25.64","19.72","2.50"
"233","Nathan MacKinnon","COL","C","79","1799.8166666667","22.782489451477","1.07","2.8","1.77","1.03","3.87","76.82","10.67","10.00","1.04","19.67","14.43","10.4","3","0.43","1.73","1.37","0.5","0.43","0.03","0.03","0.83","4.03","0.9","1.23","2.27","1.93","25.2","25.27","1.66"
"639","Tim Stützle","OTT","C","82","1624.6666666667","19.813008130081","0.89","2.03","1","1.03","2.92","67.52","5.98","14.81","0.72","12.04","8.49","6.87","2.51","0.18","1.29","1.7","0.7","0.66","0","0.04","1.4","2.55","0.85","4.73","4.87","1.66","7.2","7.87","1.77"
"135","Nikita Kucherov","T.B","R","78","1652.7833333333","21.18952991453","1.34","3.05","2.03","1.02","4.39","79.08","9.62","13.96","0.95","19.97","13.76","9.08","2.8","0.51","1.82","1.63","0.62","0.54","0.04","0.04","1.02","4.43","1.09","0.83","2.25","1.2","0.04","0.04","1.82"
"658","JJ Peterka","BUF","R","77","1400.1666666667","18.183982683983","1.16","1.76","0.77","0.99","2.91","59.65","7.41","15.61","0.83","16.46","11.78","7.46","2.44","0.69","1.03","1.46","0.56","0.51","0","0.04","0.69","3.73","0.94","1.29","3.04","0.69","0.09","0.43","0.71"
"312","Connor McDavid","EDM","C","67","1476.1","22.031343283582","1.06","3.01","2.03","0.98","4.06","79.37","7.97","13.27","1.08","15.04","11.46","9.51","4.02","0.53","2.07","1.1","0.49","0.45","0.04","0","0.93","3.01","1.3","1.63","2.56","0.73","15.04","16.5","1.94"
"763","Oliver Moore","CHI","C","9","122.2","13.577777777778","0","1.96","0.98","0.98","1.96","80.00","4.91","0.00","0.22","7.86","6.38","0.98","0.49","0","0","1.96","0.98","0.98","0","0","0.49","5.4","0.49","2.95","8.35","0.98","5.4","7.86","20.00"
"26","Patrick Kane","DET","R","72","1294.5166666667","17.979398148148","0.97","1.76","0.79","0.97","2.73","70.24","8.11","12.00","0.82","15.48","11.77","7.46","2.32","0.42","1.39","0.56","0.28","0.28","0","0","0.42","3.57","0.6","0.88","0.83","1.07","0.23","0.37","1.78"
"346","Mitch Marner","TOR","R","81","1726.55","21.315432098765","0.94","2.61","1.63","0.97","3.54","76.12","6.01","15.61","0.69","13.66","9.14","6.99","2.12","0.56","1.11","0.49","0.24","0.24","0","0","0.63","3.68","1.95","1.7","1.81","1.39","0.35","0.83","1.02"
"625","Lucas Raymond","DET","L","82","1540.2333333333","18.783333333333","1.05","2.06","1.09","0.97","3.12","72.07","7.48","14.06","0.92","14.88","11.02","8.8","2.92","0.62","1.71","0.7","0.31","0.31","0","0","0.97","3.12","1.09","1.64","3.86","1.32","0.04","0.27","0.49"
"461","Martin Necas","CAR, COL","C","79","1500.8833333333","18.998523206751","1.08","2.24","1.28","0.96","3.32","68.60","7.76","13.92","0.82","15.75","11.79","7.72","2.68","0.44","1.28","0.64","0.32","0.32","0","0","0.96","3.32","0.92","2.48","4.4","0.92","2.04","3.36","1.51"
"355","Artemi Panarin","NYR","L","80","1574.65","19.683125","1.41","1.98","1.03","0.95","3.39","83.96","9.03","15.61","1","22.33","15.17","10.02","2.06","1.03","1.49","0.61","0.3","0.3","0","0","0.46","3.7","0.95","0.69","1.68","0.42","0","0.04","0.00"
"455","Nick Suzuki","MTL","C","82","1644.9666666667","20.060569105691","1.09","2.15","1.2","0.95","3.25","70.08","6.27","17.44","0.77","12.66","9.34","7.4","2.7","0.44","1.09","0.29","0.15","0.15","0","0","0.44","3.14","1.13","2.3","3.47","2.59","24.8","23.27","1.88"
"457","Jason Robertson","DAL","L","82","1459.0666666667","17.793495934959","1.44","1.85","0.9","0.95","3.29","75.47","8.68","16.59","1.06","16.74","12.05","8.76","3.37","0.45","1.27","0.74","0.37","0.37","0","0","0.86","3.78","0.99","2.43","3.29","1.85","0.29","0.49","1.52"
"261","Leon Draisaitl","EDM","C","71","1527.7333333333","21.517370892019","2.04","2.12","1.18","0.94","4.16","81.54","9.47","21.58","1.22","16.34","13.35","8.37","3.3","0.67","1.73","1.34","0.67","0.67","0","0","1.14","3.46","1.37","0.86","3.1","1.06","25.53","21.44","2.13"
"6","Sidney Crosby","PIT","C","80","1629.9666666667","20.374583333333","1.21","2.14","1.21","0.92","3.35","72.80","8.36","14.54","1.26","15.28","12.48","8.69","4.23","0.37","1.51","1.14","0.52","0.48","0.04","0","0.66","3.17","1.07","2.43","1.66","1.44","37.44","28.16","2.10"
"151","Vladislav Namestnikov","WPG","C","78","1177.2666666667","15.093162393162","0.56","1.38","0.46","0.92","1.94","56.72","4.79","11.70","0.85","8.56","6.98","6.47","4.13","0.25","1.48","1.94","0.76","0.71","0","0.05","0.71","1.94","0.76","4.28","5.61","2.5","18.6","21.71","2.35"
"225","Shea Theodore","VGK","D","67","1473.4666666667","21.992039800995","0.29","2.04","1.14","0.9","2.32","57.00","5.21","5.47","0.29","13.56","7.53","4.03","0.29","0.2","1.1","1.06","0.53","0.53","0","0","0.29","4.28","1.14","0.24","3.46","3.34","0","0","-"
"304","Darren Raddysh","T.B","D","73","1262.8833333333","17.299771689498","0.29","1.47","0.57","0.9","1.76","48.05","5.13","5.56","0.27","13.4","8.65","3.47","0.24","0.48","1.05","0.67","0.33","0.33","0","0","0.29","2.61","0.48","1.81","5.42","3.23","0","0","-"
"309","Kyle Connor","WPG","L","82","1672.3666666667","20.394715447154","1.47","2.01","1.11","0.9","3.48","73.48","9.58","15.36","1.03","17.36","12.84","9.29","3.19","0.54","1.61","0.9","0.39","0.36","0.04","0","0.47","2.87","1.18","0.75","1.65","1.65","0.04","0.25","0.45"
"720","Logan Cooley","UTA","C","75","1339.6","17.861333333333","1.12","1.79","0.9","0.9","2.91","71.43","7.08","15.82","0.81","13.12","10.08","6.85","2.87","0.22","0.99","2.06","1.03","1.03","0","0","0.94","2.96","1.07","2.82","5.33","1.43","15.23","18.81","2.00"
