"Player","Season","Team","Position","GP","TOI","Opp #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","24-25","FLA","L",81,728.33,675,13.85,27.43,-0.01,-0.003,0.13,0.13,-0.07,-0.05,-0.012,-0.01,0.12,0.01,0.12,0.01
"Aaron Ekblad","24-25","FLA","D",56,1001.68,593,14.94,29.61,0.86,0.035,0.22,0.24,0.65,-0.21,0.028,-0.006,0.21,0.01,0.22,0.02
"Aatu Raty","24-25","VAN","C",33,341.18,473,14.07,27.79,0.09,0.005,0.16,0.15,0.07,-0.02,-0.005,-0.01,0.13,0.02,0.13,0.02
"Adam Boqvist","24-25","FLA","D",18,190.78,249,14.01,27.78,0.52,0.013,0.15,0.16,0.18,-0.33,0,-0.014,0.14,0.01,0.13,0.03
"Adam Boqvist","24-25","NYI","D",17,218.5,244,14.28,28.2,0.7,0.027,0.2,0.21,0.43,-0.27,0.011,-0.017,0.18,0.02,0.18,0.03
"Adam Edstrom","24-25","NYR","C",51,466.87,595,14.07,27.94,0.4,0.012,0.16,0.15,0.21,-0.2,0.004,-0.008,0.15,0.01,0.14,0.01
"Adam Fantilli","24-25","CBJ","C",82,1245.02,664,14.53,28.82,0.64,0.026,0.18,0.19,0.42,-0.22,0.014,-0.012,0.16,0.01,0.17,0.02
"Adam Fox","24-25","NYR","D",74,1297.87,663,14.59,28.91,0.71,0.028,0.19,0.2,0.47,-0.24,0.017,-0.011,0.18,0.01,0.18,0.02
"Adam Gaudette","24-25","OTT","R",81,719.38,686,13.84,27.4,0.17,0.002,0.14,0.13,0.05,-0.12,-0.009,-0.012,0.12,0.02,0.11,0.02
"Adam Henrique","24-25","EDM","C",81,964.05,672,14.25,28.23,0.29,0.007,0.15,0.16,0.25,-0.04,0.001,-0.006,0.15,0,0.15,0.01
"Adam Klapka","24-25","CGY","R",31,288.52,401,14.35,28.38,0.46,0.011,0.16,0.18,0.38,-0.08,0.007,-0.004,0.15,0.01,0.16,0.02
"Adam Larsson","24-25","SEA","D",82,1473.08,686,14.61,28.94,0.56,0.022,0.18,0.2,0.43,-0.13,0.014,-0.008,0.17,0.01,0.18,0.02
