"Player","Season","Team","Position","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60","RAPM_CF/60","RAPM_CA/60","RAPM_xGF/60","RAPM_xGA/60","Off_GAR/60","Def_GAR/60","Off_xGAR/60","Def_xGAR/60"
"A.J. Greer","24-25","FLA","L",81,728.33,29,13.22,26.51,2.27,0.099,0.07,0.19,1.07,-1.21,0.044,-0.056,0,0.07,0.11,0.08
"A.J. Greer","25-26","FLA","L",59,662.87,27,13.61,28.46,1.43,0.046,0.17,0.17,0.77,-0.67,0.015,-0.031,0.09,0.09,0.07,0.1
"Aaron Ekblad","24-25","FLA","D",56,1001.68,24,14.78,29.63,4.37,0.15,0.28,0.29,2.61,-1.75,0.074,-0.076,0.21,0.07,0.18,0.12
"Aaron Ekblad","25-26","FLA","D",57,965.68,26,14.04,29.37,2.39,0.068,0.19,0.26,1.14,-1.25,0.044,-0.024,0.18,0.01,0.2,0.06
"Aatu Raty","24-25","VAN","C",33,341.18,33,14.31,28.41,0.3,0.008,0.12,0.15,-0.06,-0.36,-0.006,-0.014,0.11,0.01,0.13,0.02
"Aatu Raty","25-26","VAN","C",45,498.92,32,14.55,29.16,-1,-0.092,-0.03,-0.07,-0.32,0.68,-0.034,0.059,0.08,-0.11,0,-0.07
"Adam Boqvist","24-25","FLA","D",18,190.78,21,13.1,26.28,2.32,0.096,0.16,0.19,0.9,-1.42,0.034,-0.062,0.09,0.07,0.1,0.09
"Adam Boqvist","24-25","NYI","D",17,218.5,24,14.15,27.7,0.44,0.005,0.11,0.17,0.6,0.16,0.007,0.003,0.1,0.01,0.17,0
"Adam Boqvist","25-26","NYI","D",20,240.43,22,13.29,26.5,-1.36,-0.079,0.06,0.06,-0.87,0.49,-0.033,0.046,0.11,-0.05,0.11,-0.05
"Adam Edstrom","24-25","NYR","C",51,466.87,27,13.74,27.42,-0.51,-0.011,0.02,0.09,-0.17,0.34,0.004,0.016,0.08,-0.06,0.12,-0.03
"Adam Edstrom","25-26","NYR","C",24,227.17,23,13.47,26.66,-0.42,0.003,0.18,0.12,-0.31,0.12,-0.054,-0.057,0.05,0.13,0.01,0.11
"Adam Engstrom","25-26","MTL","D",11,136.78,22,12.52,25.08,-0.33,-0.031,0.1,0.15,-0.36,-0.03,-0.009,0.022,0.14,-0.04,0.17,-0.02
