"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"9","Brad Marchand","FLA","L","46","557.1","12.110869565217","1.72","0.97","0.54","0.43","2.69","78.13","8.72","19.75","0.99","17.45","14","9.37","5.06","0.43","2.8","2.37","1.18","1.18","0","0","2.15","3.98","0.75","3.34","3.45","1.4","0.11","0.75","1.35"
"198","Nathan MacKinnon","COL","C","55","900.98333333333","16.381515151515","1.6","2.06","1.27","0.8","3.66","75.34","9.86","16.22","0.91","17.25","12.99","9.92","3.6","0.47","1.13","0.93","0.47","0.47","0","0","0.87","5.79","0.87","2.4","2.86","1.53","26.77","28.04","3.25"
"359","Tage Thompson","BUF","C","57","827.08333333333","14.510233918129","1.6","0.8","0.73","0.07","2.39","80.49","9.72","16.42","1.04","18.64","13.86","9.14","3.7","0.29","2.18","1.81","0.73","0.65","0.07","0","0.73","3.19","1.16","3.77","3.41","2.03","16.76","19.51","3.35"
"674","Stephen Halliday","OTT","C","25","150.51666666667","6.0206666666667","1.59","1.59","0.8","0.8","3.19","100.00","9.17","17.39","0.85","15.15","11.96","10.36","5.98","0","1.99","0.8","0.4","0.4","0","0","0.4","3.99","0.8","11.16","8.37","2.79","8.37","13.95","14.95"
"74","Brock Nelson","COL","C","55","737.96666666667","13.417575757576","1.54","1.06","0.41","0.65","2.6","71.11","7.24","21.35","1.03","11.95","9.68","9.51","4.8","0.41","1.54","1.63","0.81","0.81","0","0","0.98","2.76","0.98","2.11","4.8","2.6","28.78","28.13","4.11"
"575","Tyson Foerster","PHI","R","21","274.06666666667","13.050793650794","1.53","0.44","0.22","0.22","1.97","75.00","6.13","25.00","0.55","12.26","9.19","6.13","2.19","0.44","1.31","0.88","0.44","0.44","0","0","0.22","1.97","1.53","3.94","5.04","3.06","0","0","-"
"366","Brandon Hagel","T.B","L","50","676.21666666667","13.524333333333","1.51","1.42","0.98","0.44","2.93","76.74","8.96","16.83","1.25","20.94","14.64","12.24","5.41","0.27","2.31","2.48","1.15","1.15","0","0","1.77","3.37","1.06","3.11","5.15","1.42","1.6","1.51","4.56"
"487","Kirby Dach","MTL","C","23","282.85","12.297826086957","1.48","0.64","0","0.64","2.12","62.50","6.58","22.58","0.91","12.3","9.97","7.21","4.67","0.21","1.06","4.88","2.12","1.91","0.21","0","1.91","2.33","1.7","6.15","5.73","4.45","8.91","12.94","8.65"
"272","Jack Eichel","VGK","C","50","730.68333333333","14.613666666667","1.48","1.4","0.99","0.41","2.87","71.43","10.1","14.63","0.82","17.08","13.3","7.23","2.79","0.08","1.56","0.66","0.33","0.33","0","0","0.9","6.08","1.23","2.22","1.89","1.81","24.96","27.43","3.91"
"495","Cole Caufield","MTL","R","57","777.61666666667","13.642397660819","1.47","0.69","0.46","0.23","2.16","68.29","8.49","17.27","1.09","16.28","13.43","9.34","3.55","0.39","1.77","1.08","0.54","0.54","0","0","0.62","2.47","1.16","3.16","2.24","0.85","0.39","0.62","2.97"
"606","Dylan Guenther","UTA","R","55","693.68333333333","12.612424242424","1.47","0.95","0.86","0.09","2.42","77.78","10.47","14.05","1","21.02","16","9.95","4.15","0.52","2.16","2.08","1.04","1.04","0","0","0.69","3.29","0.86","3.37","5.71","1.3","1.56","2.08","3.71"
"205","Bo Horvat","NYI","C","44","572.25","13.005681818182","1.47","0.52","0.52","0","1.99","65.52","8.28","17.72","0.86","14.99","11.64","8.91","3.04","0.52","1.99","3.36","1.05","0.94","0","0.1","0.84","3.88","0.73","3.77","2.41","1.78","28.62","22.65","5.85"
"381","Morgan Geekie","BOS","C","56","746.91666666667","13.337797619048","1.45","0.8","0.4","0.4","2.25","80.00","6.51","22.22","0.76","12.53","9.4","6.67","3.29","0.56","0.72","0.8","0.4","0.4","0","0","1.2","3.29","1.04","6.75","5.46","1.37","3.78","4.34","3.74"
"376","Kailer Yamamoto","UTA","R","35","374.45","10.698571428571","1.44","1.28","0.96","0.32","2.72","73.91","4.97","29.03","0.75","8.33","6.73","6.41","3.85","0","0.16","1.28","0.64","0.64","0","0","1.28","1.92","0.96","3.36","4.33","1.6","1.92","3.04","6.20"
"337","Carl Grundstrom","PHI","R","27","302.65","11.209259259259","1.39","0.4","0","0.4","1.78","75.00","5.35","25.93","0.59","11.1","8.52","5.75","2.78","0.2","0.4","1.59","0.79","0.79","0","0","0.59","2.18","0.79","15.86","6.54","2.78","0.4","0.59","7.93"
"641","Logan Cooley","UTA","C","29","395.38333333333","13.633908045977","1.37","1.06","0.61","0.46","2.43","64.00","6.68","20.45","0.86","11.84","10.47","7.13","4.4","0.61","1.21","2.73","1.37","1.37","0","0","1.37","4.25","1.67","5.01","4.86","1.97","15.63","22.46","6.23"
"370","Justin Brazeau","PIT","R","42","489.36666666667","11.651587301587","1.35","1.23","0.74","0.49","2.57","80.77","8.21","16.42","1.23","13.61","11.89","10.42","6.38","0.37","1.72","1.23","0.61","0.61","0","0","0.98","3.68","1.23","6.62","3.56","3.07","0","0.12","0.00"
