"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"680","Victor Mancini","VAN","D","10","129.13333333333","12.913333333333","40.89","77.13","34.65","28.34","54.36","34.27","19.05","36.24","34.45","0.46","3.25","12.50","1.88","3.77","33.23","19.98","39.49","33.59","8.83","15.33","36.54","0.46","0.93","33.33","14.87","32.21","31.58","0","3.1","0.00","35.57","55.03","39.26","0","0","-","2.44","91.03","0.935","6.97","7.9","2.32","53.43","75.00","15.33","10.69","13.47","53.23"
"420","Ben Jones","MIN","C","26","214.4","8.2461538461538","48.97","76.12","39.15","35.54","54.29","39.56","22.95","34.14","40.20","0.84","3.36","20.00","2.01","3.1","39.26","18.75","31.9","37.02","8.12","14.83","35.37","0.84","1.68","33.33","14.18","22.76","38.38","0","1.12","0.00","40.02","74.78","34.86","0","1.21","0.00","3.66","90.16","0.938","2.52","9.79","11.47","54.01","18.00","7.28","14.83","27.15","21.14"
"156","Chandler Stephenson","SEA","C","54","733.43333333333","13.582098765432","47.78","73.87","39.27","33.46","52.27","39.03","21.84","33.54","39.44","1.72","2.21","43.75","1.76","3.54","33.20","20.21","33.95","37.31","7.04","15.71","30.94","0.82","1.15","41.67","17.56","24.32","41.93","0.65","0.65","50.00","44.08","68.89","39.02","0.59","0.83","41.67","7.87","93.41","1.013","8.67","13.25","17.26","41.48","33.44","13.83","17.26","31.41","30.56"
"500","John Beecher","BOS, CGY","C","25","205.46666666667","8.2186666666667","51.1","73.3","41.08","33.87","48.18","41.28","21.61","33.87","38.95","0.88","2.63","25.00","1.97","3.42","36.50","21.9","34.75","38.66","9.93","14.6","40.48","0.88","1.46","37.50","15.96","26.87","37.27","0","0.78","0.00","37.54","59.47","38.70","0","0.84","0.00","4.05","92.24","0.963","4.38","14.31","7.88","59.57","35.71","8.76","16.65","18.69","31.91"
"290","Caleb Jones","PIT","D","7","106.86666666667","15.266666666667","53.34","72.99","42.22","36.49","46.6","43.92","24.14","27.51","46.74","2.25","1.68","57.14","2.88","3.36","46.14","28.63","34.81","45.13","14.04","19.09","42.37","1.12","1.12","50.00","19.46","20.96","48.15","0.75","0.75","50.00","34.06","61.63","35.59","0.81","0","100.00","9.30","93.88","1.032","4.49","8.98","8.42","47.72","34.78","11.23","15.16","20.77","35.09"
"550","Daemon Hunt","MIN","D","26","279.48333333333","10.749358974359","43.58","72.99","37.38","31.77","50.24","38.74","20.18","30.27","40.00","1.72","1.93","47.06","2.01","2.83","41.54","21.25","28.77","42.49","8.37","10.95","43.33","0.64","1.07","37.50","17.17","23.76","41.96","1.14","0.57","66.67","34.11","69.15","33.03","0.31","0.62","33.33","8.51","93.62","1.021","6.01","10.3","8.8","53.03","40.58","13.31","18.25","21.04","38.75"
"650","Jonathan Lekkerimäki","VAN","R","13","127.23333333333","9.7871794871795","37.25","71.21","34.35","24.99","51.4","32.72","14.62","33.01","30.69","1.41","1.89","42.86","1.05","3.23","24.51","15.09","34.9","30.19","3.3","14.62","18.42","0.47","0.94","33.33","15.72","27.04","36.76","1.26","1.26","50.00","38.83","51.09","43.18","0","0","-","9.68","94.29","1.040","9.43","10.37","2.83","55.65","76.92","17.92","14.62","8.49","67.86"
"727","Matvei Gridin","CGY","R","13","155.78333333333","11.983333333333","61.62","70.48","46.65","40.44","48.53","45.45","22.34","29.66","42.96","1.93","5.01","27.78","1.98","3.16","38.54","25.81","38.13","40.36","6.93","13.48","33.96","0.77","1.93","28.57","25.16","32.87","43.36","0.51","3.08","14.29","57.86","45.62","55.91","1.11","1.11","50.00","8.62","83.12","0.917","16.18","9.63","5.01","46.99","76.36","26.19","16.56","11.94","68.69"
"72","Tyler Pitlick","MIN","C","31","239.75","7.7338709677419","48.8","70.32","40.97","35.79","48.8","42.31","22.27","29.78","42.79","0.75","2.25","25.00","2.19","2.49","46.81","20.02","28.78","41.03","10.26","11.51","47.13","0.75","1.25","37.50","13.01","23.02","36.11","0","1","0.00","39.04","70.13","35.76","0","0.36","0.00","3.37","92.44","0.958","3.75","11.01","10.26","53.06","26.79","8.76","16.02","24.03","26.72"
"389","Eeli Tolvanen","SEA","R","55","692.28333333333","12.58696969697","51.74","70.29","42.40","35.27","49.06","41.83","22.19","31.72","41.16","1.91","2.34","44.90","1.75","3.16","35.59","20.63","31.29","39.73","6.67","13","33.92","0.52","1.3","28.57","18.61","24.38","43.28","0.81","0.46","63.64","52.08","62.72","45.37","1.13","1","52.94","8.59","92.62","1.012","9.97","12.22","12.48","46.97","44.40","16.55","16.38","23.57","41.25"
