"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"261","Viktor Arvidsson","BOS","L","67","0.083333333333333","0.0012437810945274","0","720","0.00","0","720","0.00","0","0","-","0","0","-","0","469.97","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","720","-","0","0","0","-"
"785","Cole Hutson","WSH","D","10","0.11666666666667","0.011666666666667","0","514.29","0.00","0","514.29","0.00","0","514.29","0.00","0","0","-","0","23.02","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","742.86","0.00","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"622","Matt Rempe","NYR","C","26","0.13333333333333","0.0051282051282051","0","450","0.00","0","450","0.00","0","450","0.00","0","0","-","0","28.59","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","650","0.00","0","0","-","-","100.00","1.00","0","0","0","450","-","0","0","0","-"
"602","Hendrix Lapierre","WSH","C","73","0.41666666666667","0.0057077625570776","0","432","0.00","0","432","0.00","0","432","0.00","0","0","-","0","62.09","0.00","0","288","0.00","0","288","0.00","0","0","-","0","0","-","0","0","-","0","416","0.00","0","0","-","-","100.00","1.00","0","0","0","432","-","0","0","144","0.00"
"8","Ryan Reaves","S.J","R","50","0.43333333333333","0.0086666666666667","0","415.38","0.00","0","276.92","0.00","0","138.46","0.00","0","0","-","0","90.88","0.00","0","415.38","0.00","0","276.92","0.00","0","0","-","0","184.62","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","138.46","-","0","0","0","-"
"517","Alex Turcotte","L.A","C","62","0.6","0.0096774193548387","0","400","0.00","0","400","0.00","0","200","0.00","0","0","-","0","66.62","0.00","0","200","0.00","0","200","0.00","0","0","-","0","0","-","0","0","-","0","288.89","0.00","0","0","-","-","100.00","1.00","0","0","100","200","0.00","0","0","100","0.00"
"633","Walker Duehr","WPG","R","3","0.3","0.1","0","400","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","200","0","0.00","0","0","200","0.00"
"464","Andrei Svechnikov","CAR","R","78","0.16666666666667","0.0021367521367521","0","360","0.00","0","360","0.00","0","360","0.00","0","0","-","0","26.67","0.00","0","360","0.00","0","360","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","0","-","0","0","0","-"
"734","Braeden Bowman","VGK","R","54","0.35","0.0064814814814815","0","342.86","0.00","0","171.43","0.00","0","171.43","0.00","0","0","-","0","11.48","0.00","0","342.86","0.00","0","171.43","0.00","0","0","-","0","228.57","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","171.43","0","342.86","-","0","171.43","0","-"
"533","Lassi Thomson","OTT","D","7","1.7666666666667","0.25238095238095","0","339.62","0.00","0","305.66","0.00","0","237.74","0.00","0","33.96","0.00","0","52.05","0.00","0","237.74","0.00","0","169.81","0.00","0","0","-","0","90.57","0.00","0","0","-","0","147.17","0.00","0","49.06","0.00","-","85.71","0.86","0","0","0","67.92","-","0","0","0","-"
"2","Corey Perry","L.A, T.B","R","68","0.18333333333333","0.0026960784313725","0","327.27","0.00","0","327.27","0.00","0","327.27","0.00","0","327.27","0.00","0","192.97","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","472.73","0.00","0","472.73","0.00","-","0.00","0.00","0","0","0","327.27","-","0","0","0","-"
"559","Arseny Gritsyuk","N.J","R","66","0.38333333333333","0.0058080808080808","0","313.04","0.00","0","313.04","0.00","0","313.04","0.00","0","0","-","0","61.34","0.00","0","313.04","0.00","0","156.52","0.00","0","0","-","0","208.7","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","313.04","-","0","0","0","-"
"480","Curtis Douglas","T.B, VAN","C","39","0.65","0.016666666666667","0","276.92","0.00","0","276.92","0.00","0","276.92","0.00","0","184.62","0.00","0","44.51","0.00","0","276.92","0.00","0","184.62","0.00","0","184.62","0.00","0","123.08","0.00","0","0","-","0","0","-","0","0","-","-","33.33","0.33","0","0","0","461.54","-","0","0","0","-"
