"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"248","Nicolas Aube-Kubel","MIN","R","4","1.1","0.275","0","54.55","0","54.55","54.55","100.00","0","-","3.63","54.55","54.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.55","0.00"
"534","Arthur Kaliyev","OTT","R","2","2.3166666666667","1.1583333333333","0","25.9","0","25.9","25.9","50.00","25.9","0.00","5.26","51.8","51.8","25.9","0","0","0","0","0","0","0","0","0","25.9","0","0","0","0","0","0","-"
"510","Jonathan Aspirot","BOS","D","58","3.4","0.058620689655172","0","17.65","0","17.65","17.65","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"517","Peyton Krebs","BUF","C","79","5.2666666666667","0.066666666666667","0","11.39","0","11.39","11.39","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.39","0","11.39","0","11.39","22.78","379.75"
"108","Joel Edmundson","L.A","D","77","5.6166666666667","0.072943722943723","0","21.36","10.68","10.68","21.36","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"386","Tanner Jeannot","BOS","L","75","6.6666666666667","0.088888888888889","0","9","0","9","9","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"792","Carter Yakemchuk","OTT","D","4","6.8333333333333","1.7083333333333","0","8.78","0","8.78","8.78","50.00","0","-","0.38","17.56","8.78","0","0","0","0","17.56","8.78","8.78","0","0","0","0","0","0","0","0","0","0","-"
"690","Arshdeep Bains","VAN","L","28","7.5166666666667","0.26845238095238","0","7.98","0","7.98","7.98","50.00","7.98","0.00","0.19","7.98","7.98","0","0","0","0","0","0","0","0","0","0","0","0","7.98","0","0","0","7.98","0.00"
"594","Mike Benning","FLA","D","14","10.816666666667","0.77261904761905","0","5.55","0","5.55","5.55","100.00","11.09","0.00","0.65","11.09","11.09","5.55","0","0","0","0","0","0","0","0","0","5.55","0","0","0","0","0","0","-"
"806","Cole Hutson","WSH","D","10","21.7","2.17","2.76","11.06","5.53","5.53","13.82","100.00","5.53","50.00","1.67","13.82","11.06","2.76","0","0","0","0","0","0","0","0","0","0","0","2.76","5.53","0","0","0","-"
"669","Ville Koivunen","PIT","R","36","33.583333333333","0.93287037037037","1.79","5.36","0","5.36","7.15","80.00","5.36","33.33","0.89","12.51","10.72","8.93","1.79","0","0","0","0","0","0","0","0","0","0","0","1.79","0","0","0","-"
"279","Jack Eichel","VGK","C","70","253.65","3.6235714285714","0","5.91","1.18","4.73","5.91","60.98","11.35","0.00","1.57","23.18","18.92","8.75","1.18","0","2.37","0.47","0.24","0.24","0","0","0.71","3.08","0.71","0.24","1.89","0","7.57","7.33","12.02"
"817","Anton Frondell","CHI","C","8","26.083333333333","3.2604166666667","0","4.6","0","4.6","4.6","66.67","4.6","0.00","1.74","32.2","20.7","13.8","0","0","2.3","0","0","0","0","0","0","2.3","0","0","2.3","0","2.3","4.6","76.68"
"499","Paul Cotter","N.J","L","75","13.133333333333","0.17511111111111","0","4.57","0","4.57","4.57","100.00","9.14","0.00","2.42","18.27","18.27","13.71","0","0","0","9.14","4.57","4.57","0","0","0","4.57","0","4.57","0","0","0","4.57","0.00"
"161","Colton Sissons","VGK","C","62","26.466666666667","0.42688172043011","0","4.53","0","4.53","4.53","40.00","4.53","0.00","0.83","11.34","6.8","11.34","4.53","0","4.53","4.53","2.27","2.27","0","0","0","2.27","0","2.27","4.53","0","27.2","15.87","143.18"
"273","Noah Hanifin","VGK","D","67","53.216666666667","0.79427860696517","0","7.89","3.38","4.51","7.89","77.78","10.15","0.00","1.55","23.68","15.78","10.15","3.38","0","3.38","0","0","0","0","0","0","1.13","0","0","0","0","0","0","-"
"341","Adam Fox","NYR","D","52","167.96666666667","3.2301282051282","1.79","6.79","2.86","3.93","8.57","72.73","8.22","21.74","0.58","21.79","12.86","7.86","0","0","1.79","1.43","0.71","0.71","0","0","0","1.79","2.86","0","0.36","1.07","0","0","-"
"418","Miro Heiskanen","DAL","D","76","267.78333333333","3.5234649122807","0.45","5.83","2.02","3.81","6.27","50.00","5.6","8.00","0.43","11.43","6.72","6.27","0","0","1.79","0.45","0.22","0.22","0","0","0.22","0.9","1.34","0.45","0.67","1.34","0","0","-"
"350","Brett Howden","VGK","C","54","31.883333333333","0.59043209876543","0","5.65","1.88","3.76","5.65","75.00","11.29","0.00","1.07","11.29","11.29","9.41","1.88","0","0","0","0","0","0","0","0","1.88","0","0","3.76","0","20.7","13.17","115.00"
"412","Nick Suzuki","MTL","C","78","271","3.474358974359","2.44","6.64","2.88","3.76","9.08","83.67","9.08","26.83","2.12","18.82","15.94","11.96","5.54","0","2.88","2.66","0.44","0.22","0","0.22","0.66","2.21","0.44","0.22","1.11","0","30.55","31.44","10.91"
"368","Mikhail Sergachev","UTA","D","73","230.63333333333","3.1593607305936","1.3","4.94","1.3","3.64","6.24","70.59","9.63","13.51","0.64","16.91","11.19","6.24","0","0","1.3","0.52","0.26","0.26","0","0","0","2.08","0.78","0.78","0.52","2.34","0","0","-"
"46","Oliver Ekman-Larsson","TOR","D","73","132.63333333333","1.8168949771689","0","3.62","0","3.62","3.62","44.44","8.14","0.00","0.47","19.45","9.95","7.24","0.45","0","1.36","0.9","0.45","0.45","0","0","0","1.36","0.9","0.9","0.45","0","0","0","-"
"141","Mark Jankowski","CAR","L","65","16.9","0.26","0","7.1","3.55","3.55","7.1","50.00","0","-","0","7.1","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","3.55","0","28.4","28.4","177.51"
"4","Evgeni Malkin","PIT","C","54","172.33333333333","3.1913580246914","1.39","6.27","2.79","3.48","7.66","68.75","12.88","10.81","2.14","21.59","17.76","12.53","5.92","0","3.48","0","0","0","0","0","0.7","3.83","0.7","0.7","1.39","0.35","2.79","5.92","11.14"
"602","Brock Faber","MIN","D","78","87.683333333333","1.1241452991453","0.68","6.84","3.42","3.42","7.53","78.57","8.9","7.69","0.37","16.42","10.95","4.11","0","0","1.37","1.37","0.68","0.68","0","0","0","2.74","1.37","0.68","0","0.68","0","0","-"
"581","Marco Rossi","MIN, VAN","C","45","106.23333333333","2.3607407407407","1.13","5.65","2.26","3.39","6.78","52.17","6.21","18.18","0.49","10.73","9.04","3.95","1.13","0","1.13","1.13","0.56","0.56","0","0","1.13","3.39","0","0","0.56","0","6.78","13.56","18.83"
"456","Quinn Hughes","MIN, VAN","D","72","301.8","4.1916666666667","0.6","6.16","2.78","3.38","6.76","77.27","8.55","6.98","0.86","22.86","14.51","9.15","0.6","0","2.78","0.4","0.2","0.2","0","0","0.2","2.19","0.6","0","0.2","0.99","0","0","-"
"459","Evan Bouchard","EDM","D","78","284.28333333333","3.6446581196581","1.48","5.28","1.9","3.38","6.75","55.17","11.4","12.96","1.16","22.16","15.41","11.19","0.63","0","1.69","0.42","0.21","0.21","0","0","0","2.53","1.06","0","0.42","1.27","0","0","-"
"33","Roman Josi","NSH","D","66","215.46666666667","3.2646464646465","1.11","5.57","2.23","3.34","6.68","68.57","10.86","10.26","0.81","22","13.92","9.47","0.28","0.28","1.95","1.11","0.56","0.56","0","0","0","1.67","0.84","0","0.84","0.84","0","0","-"
"670","Simon Edvinsson","DET","D","68","18.033333333333","0.26519607843137","0","3.33","0","3.33","3.33","100.00","3.33","0.00","0.13","3.33","3.33","0","0","0","0","6.65","3.33","3.33","0","0","0","3.33","0","0","0","3.33","0","0","-"
"530","Kaapo Kakko","SEA","R","60","90.833333333333","1.5138888888889","1.32","3.96","0.66","3.3","5.28","72.73","4.62","28.57","1.48","13.21","8.59","9.25","6.61","0","2.64","0","0","0","0","0","0","1.32","0","0.66","1.32","0","1.98","3.3","24.77"
"381","Michael Eyssimont","BOS","C","53","36.833333333333","0.69496855345912","1.63","4.89","1.63","3.26","6.52","100.00","16.29","10.00","2.35","22.81","21.18","16.29","14.66","0","3.26","3.26","1.63","1.63","0","0","1.63","1.63","0","1.63","0","0","0","0","-"
"278","Connor McDavid","EDM","C","78","284.16666666667","3.6431623931624","2.53","7.81","4.65","3.17","10.35","83.05","15.84","16.00","2.61","24.7","20.9","16.26","6.55","0","3.59","1.27","0.63","0.63","0","0","1.27","3.17","0.42","0.63","2.74","0","7.81","7.6","10.70"
"415","Jason Robertson","DAL","L","78","302.86666666667","3.882905982906","2.77","5.15","1.98","3.17","7.92","65.57","13.67","20.29","2.19","25.56","20.21","18.23","6.14","0","3.37","1.19","0.59","0.59","0","0","0.2","2.38","0.59","0.4","1.58","0","0","0","-"
"30","Erik Karlsson","PIT","D","73","246.93333333333","3.3826484018265","0.97","5.35","2.19","3.16","6.32","63.41","10.21","9.52","1","24.54","16.52","7.29","0.24","0","2.43","0","0","0","0","0","0.24","2.43","0.73","0","0.73","0.49","0","0","-"
"593","Jake Sanderson","OTT","D","65","210.11666666667","3.2325641025641","1.14","4.57","1.43","3.14","5.71","50.00","13.14","8.70","1.24","25.99","18.28","8.28","1.71","0","2.86","0","0","0","0","0","0","1.14","0.29","0.29","0.57","1.71","0","0","-"
"730","Danila Yurov","MIN","R","69","38.916666666667","0.56400966183575","0","3.08","0","3.08","3.08","33.33","4.63","0.00","0.46","10.79","9.25","4.63","1.54","0","1.54","0","0","0","0","0","1.54","1.54","0","1.54","1.54","0","7.71","20.04","42.83"
"788","Daniil But","UTA","L","29","39.05","1.3465517241379","1.54","3.07","0","3.07","4.61","100.00","10.76","14.29","2.23","18.44","16.9","12.29","7.68","0","1.54","0","0","0","0","0","0","0","0","1.54","3.07","0","1.54","1.54","76.82"
"60","Erik Haula","NSH","L","78","118.11666666667","1.5143162393162","1.52","4.06","1.02","3.05","5.59","68.75","6.6","23.08","1.38","12.19","10.16","8.13","6.1","0","0.51","0","0","0","0","0","0","4.06","0","1.52","1.02","0.51","20.32","18.29","26.74"
"742","Noah Laba","NYR","C","71","40.7","0.57323943661972","4.42","2.95","0","2.95","7.37","100.00","10.32","42.86","1.72","13.27","11.79","10.32","5.9","0","1.47","0","0","0","0","0","0","1.47","1.47","0","1.47","0","17.69","20.64","68.04"
"796","Artyom Levshunov","CHI","D","68","184.95","2.7198529411765","0.32","3.24","0.32","2.92","3.57","52.38","5.19","6.25","0.46","13.3","7.46","6.16","0.32","0","0.97","1.95","0.65","0.65","0","0","0.32","1.95","0.32","0.32","0.32","1.62","0","0","-"
"55","Mattias Ekholm","EDM","D","78","41.75","0.53525641025641","0","4.31","1.44","2.87","4.31","75.00","1.44","0.00","0.38","11.5","5.75","4.31","1.44","0","2.87","0","0","0","0","0","0","4.31","1.44","1.44","0","0","0","0","-"
"360","Jordan Kyrou","STL","R","67","146.11666666667","2.1808457711443","1.23","4.11","1.23","2.87","5.34","86.67","11.09","11.11","1.5","23","13.96","9.86","3.29","0","1.23","0","0","0","0","0","0","2.46","0.82","0.82","1.23","0","0.41","0","41.06"
"143","Mike Matheson","MTL","D","75","21","0.28","0","2.86","0","2.86","2.86","50.00","2.86","0.00","0.62","11.43","5.71","8.57","0","0","2.86","0","0","0","0","0","0","2.86","0","0","0","0","0","0","-"
"206","Elias Lindholm","BOS","C","66","189.68333333333","2.8739898989899","2.21","4.11","1.27","2.85","6.33","60.61","10.12","21.88","2.53","20.88","17.08","18.03","9.81","0","2.85","0","0","0","0","0","0","1.9","0.63","0.63","0.95","0","33.85","20.56","19.68"
