"last_name, first_name",player_id,year,xslg,xwobacon,avg_swing_speed,fast_swing_rate,blasts_contact,avg_swing_length,attack_angle,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,oz_swing_percent,whiff_percent,pull_air_rate
"Abrams, CJ",682928,2023,0.402,0.345,71.5,20.2,14.1,7.3,9.9,52,28.4,87.4,32.6,6.9,35.1,22.5,0.1707317073
"Abrams, CJ",682928,2024,0.413,0.37,72.2,23.9,13.5,7.5,12.4,61.9,29,88.2,33,6.9,35.4,24.7,0.2177033493
"Abrams, CJ",682928,2025,0.401,0.35,72.4,25.5,13.8,7.6,10.9,59,27.3,88.7,34.4,7.6,32.6,24.4,0.2222222222
"Abreu, José",547989,2023,0.414,0.37,74,41.7,16.2,7.3,7.9,47.9,32.4,89,32.5,8.7,36.3,26.4,0.1298076923
"Abreu, José",547989,2024,0.244,0.232,73.1,31.4,11.1,7.1,3.8,34.6,31.9,87.8,26.7,2.3,33.3,29.7,0.06976744186
"Abreu, Wilyer",677800,2024,0.433,0.413,74.6,44.6,16,7.4,11.1,53.7,31.7,91.6,33.7,11.1,28.2,29.6,0.229390681
"Abreu, Wilyer",677800,2025,0.475,0.413,74.1,40.9,16.9,7.1,9.5,57.6,31.2,90.8,31.9,12.3,29,24,0.2572463768
"Acuña Jr., Ronald",660670,2023,0.668,0.494,77.3,69.9,25.7,7.4,6.8,48.4,34.6,94.7,33.6,15.3,22.6,18.7,0.1316725979
"Acuña Jr., Ronald",660670,2024,0.43,0.41,76.8,73.1,16.9,7.6,10.7,58.8,34.9,92.2,31.7,9.4,21.4,27.5,0.1366906475
"Acuña Jr., Ronald",660670,2025,0.535,0.481,76.4,67.3,19.9,7.6,11.9,50.9,38.7,92.7,30.9,15.7,23.1,30.3,0.1355932203
"Acuña, Luisangel",682668,2025,0.299,0.297,70.7,17.5,13.9,7.3,3.4,41.8,25.3,87.9,29.8,1.4,30.9,22.3,0.04964539007
"Adames, Willy",642715,2023,0.435,0.402,72.5,24.2,12.2,8.2,16.1,47.5,34.3,87.4,35,12.4,31.8,31,0.2385786802
